BT_A_N_001	BT_A_N_025	BT_A_N_029	BT_A_P_014	BT_A_P_026	BT_A_P_030	BT_A_SL_003	BT_A_SL_027	BT_A_SL_031	BT_A_SM_004	BT_A_SM_028	BT_A_SM_032
LOC100650735	1686	1378	1281	1058	967	1050	1434	1144	889	1131	759	1013
LOC100650736	100.00003	161.99957	159.0004	86	87.99996294	120.00004	71.00001	94.000020849895	79.000051584	86.000050082	61.0000011086	97.99994
LOC100650737	10334.992	9245.009	10679.998	10118.99	9206.997	7229.004	12776.998	10123.005	8973.994	7951.004	4998.0029	7171.001
LOC100650738	808	981	618	783	827	952	956	778	771	814	842	646
LOC100650739	364	354	335	332	275	262	406	343	317	371	259	291
LOC100650740	3794	8415	4277	6449	5368	6649	6521	5353	5520	3462	5660	5052
LOC100650741	1216	2022	1273	1681	1328	1491	1699	1299	1508	1305	1292	1368
LOC100650742	1704.005	2163.995	1661.998	1770.001	1607.998	2191.995	1768.003	1867.0023	1860.997	960	1597.004	1460.001
LOC100650743	2134.05863805557	3797.92042	3560.4466650511	3077.7952	2232.32520090414	3048.57510321662	2456.8702253478	2945.7502452042	2630.56126499056	2332.6195	2080.51860002878	2440.5942703
LOC100650744	4	4	4	2	4	2	12	2	0	5	6	6
LOC100650745	24	362	33	16	84	611	16	76	58	4	4	155
LOC100650746	1627.646	1181.993	1277.461	1028.364	1011.608	1037.576	1505.579	931.277	853.377	1040.13	704.291	802.242
LOC100650747	1759.203	1875.106	1785.502	1565.441	1246.643	1621.787	1930.35	1630.43	1221.519	1299.925	1170.133	1430.332
LOC100650748	1626	2059.997	1743.002	1572.9999	1285	1775.999	1608.0034	1327.9997	1209.9991	1531.0007	1496	1399.9994
LOC100650749	2850.0069	2535.003	3056.999	2241.0183	1977.9991	2046.0172	2300.9978	2546.0038	1885.9998	1745.9997	1414.9997	1752.9996
LOC100650750	2306.9488	2802.8776	2014.9249	2059.9997	1929.948	2281.0009	2489.9797	1747.001	1970.9663	1837.9531	2031.9984	1786.9013
LOC100650751	405.3594	447.3474	455.74720013794	409.731	341.5059	359.1607	516.3218	327.3089	416.498	496.54694	256.662	402.204
LOC100650752	140.331	139.586	130.172	121	90.2891	95	114	135.687	112.173	129.362	88	80.1336
LOC100650754	4072.06600003736	3793.9998	3152.00130911113	2933.00083571795	2818.000056	3218.998	3571.001363	3343.9976391066	2600.9976765534	2491.99915813703	2287.00037573688	2660.99955603378
LOC100650755	9878.917	9910.882	11034.854	7446.792	6912.4993	5940.184	6781.485	9355.903	6573.232	5979.8859	4071.6567	6727.99700028596
LOC100650756	24	20.00002	25.99996	34.99998	23.000045	11.999996	30	10	21.99999	23.99999	18.99995	15.00002
LOC100650757	6631	7504	7182	5644	5713	6072	6699	6341	5494	5049	3744	5677
LOC100650758	2897	4149	2870	3320	2704	3258	3319	2909	3024	2535	2498	2622
LOC100650759	1970.543	2240.455	1779.824133944	1608.86323	1425.17000582984	1793.5344	1866.4905173	1479.3052475	1489.54932	1429.4232	1205.65600001584	1492.23900009607
LOC100650761	3645	4744	3320	3870	3684	4057	4841	3732	4210	3004	3793	3262
LOC100650762	731.00013	780	681.00037	571.99983	535.99941	656.0001654268	801.00032	682	533.00039	575.00009	544.9998256	529.00029
LOC100650764	483	427	478	545	393	524	853	364	455	341	265	311.0004
LOC100650765	182.7432	202.326	178.463	175.6297	146.632	135.24367	201.706	151.0716	147.16283	150.578	97.6944	142.7648
LOC100650766	649.3716	652.3337	674.9882	711.8035	565.3859	796.8608	614.5219	584.8424	511.5565	540.1942	397.2923	492.7305
LOC100650767	608	899	673	807	671	763	868	721	711	590	745	634
LOC100650768	291.00031	545.00005	239.9997	276.0003	370.0005	539.9998	291.00014	480.00023216699	315.99993	268.0005	288.999531	380.00023
LOC100650769	1750.9992	1942.8221	2040.0002	1482.0003	1148	1144.9994	1414.8629	1307.0001	1569.0005	1388.0006	999	1170.0001
LOC100650770	572.659	671.467	689.523	637.7542	539.189	523.0695	840.806	574.589	517.541	562.267	473.677	428.6733
LOC100650771	330.99999	419.0001	329.0004	343.0005	178.99999	259	337	210	276	248.99931	230.0005	277.9996
LOC100650772	31	355	93	209	136	229	128	135	337	58	131	296
LOC100650773	19	10	4	7	7	11	3	4	9	7	9	3
LOC100650774	396.925	531.496	502.427	514.174	325.72	375.124	467.836	369.822	351.463	396.79	305.479	368.946
LOC100650775	897.9998	1034.0001	806.0005	891.0004	702.0002	812.0001	1035.0003	779.0003	804	782.9999	677.9996	669.9997
LOC100650776	483	449	344	317	371	394	495	358	362	347	364	289
LOC100650777	2396	2267	2579	2094	1722	1882	2375	1906	1687	2088	1593	1609
LOC100650778	2053	1379.9984	2012.995	1510.997	1222.0048	1181.0038	1665.0031	1342.004	1173.999	1428.9967	744.0004	999.9999
LOC100650779	1282.000164	1055.9996457	961.99962947911	882.0003	852.9997	851.00124	853.999752022295	837.99950001711	942.0005	831.000100010761	727.9999	683.00039
LOC100650780	250.9996	271.00021275009	196.99995683	232.00026	218.00003	181.0004	257.000230952415	289.0005	209.99979282	194.999670027467	173.00001	176.00008
LOC100650781	2194.01120149858	2183.90363586	1829.08609044156	1870.56120006079	1759.05466	2261.36930068	2409.85962912999	1842.35932879	1820.93785004541	1639.22600006906	1577.62993254708	1628.29650955
LOC100650782	118.9999	174.99999	166.9999	117.00003	120.99999	132.00012	151.99996	123.00002	116.99995	153.99995	118.00003	93.00003
LOC100650783	220	68	21	23	24	41	28	26	42	21	28	41
LOC100650784	515	740	557	438	371	485	547	365	378	486	513	515
LOC100650785	6411.002	7601.0029	6565.0000891764	5831	6235.9957	7292.0050908074	7226.001	7704.9961	7431	4393.0051	5142.0025241	6973.0035
LOC100650786	2828.0873	1930.01071108532	2591.54118203	2282.5374	2189.1354221431	1930.2080472735	2788.04672537	2579.67535	2142.980177	2546.16017507285	1377.03071982494	1642.41345776
LOC100650787	631	726	801	538.999	523.9997	614.999	867	562	374.9997	355.9999	368.0001	470
LOC100650788	326.004	215.622	264.57	262.224	203.348	223.536	327.186	204.459	164.44	238.758	171.856	194.699
LOC100650790	824	892	651	585	618	683	636	588	597	581	388	563
LOC100650791	602	729	660	546	427	505	538	529	497	509	421	467
LOC100650792	2727.77531395889	2313.41570009949	2073.18970249372	1713.22769102626	2449.60166763624	2089.02946376166	2499.45589804892	2691.86681597731	1881.17798864086	1573.58109763858	1863.94313051522	1809.44473359483
LOC100650793	728	823	643	625	437	518	633	509	545	562	426	585
LOC100650794	12206.806	24790.912	16109.214	18618.742	18776.023	22611.774	27925.021	17246.755	16156.226	10184.337	16735.446	17463.844
LOC100650795	1056	1036	1127	1001	784	915	981	877	736	886	664	777
LOC100650796	715	505	516	505	451	440	699	484	427.9996	517	446	406.9995
LOC100650797	197.0001	171.0003	167	171	154.9998	99	211.9996	160	150.0002	220.0001	95	98
LOC100650798	5597.04	7512.94	6932.83	8806.68	7315.91	7098.01	8039.32	8574.66	7072.93	4585.97	5658.06	8243.77
LOC100650799	853.00062	866.0007	891.00154	797.99999	646.0007	663.00015	830	701.0011	667.99999	644.0004	504.9992	575.0006
LOC100650801	584	655	631	649	462	587	752	569	482	521	473	484
LOC100650802	1228	887	878	704	734	512	750	911	863	571	304	581
LOC100650803	488	540	458.0005	507.0001	454.0005	474.0002	628	430	424.0001	415.9995	391.0002	453.9999
LOC100650804	916.9995	579.99991	659.00007	618.0003	766.99987	772.99966	1019.0001	800.0006	516.0002	547.9998	562.0001	500.0005
LOC100650805	10360	9697	8502	6864.996	7808.003	8667.994	10625.01	8445	6782	6726.29	6911.001	7471.002
LOC100650807	2359.7316	2461.3986	2576.6391	1872.10177	1651.6244	1654.788	2121.4302	2097.9717	1823.77735689	1803.151972	1398.14516	1699.8769
LOC100650808	4554.28	5609.18	3563.614	4629.661	2987.486	3908.428	3416.035	2797.991	4260.811	3737.763	3435.171	2845.835
LOC100650809	2298.99	3160.99	2620.99	2672.98	2234.99	2273.34	3084.98	2820.98	2105.253	2138.998	1877	2274.99
LOC100650810	212.8937	312.6998	217.0878	221.4346	177.481	243.2312	181.4056	158.1541	185.3164	158.4363	202.8005	231.2341
LOC100650811	1151.512	1330.698	1067.844	1078.329	925.348	1074.84	1149.313	1137.341	974.377	806	779	939.024
LOC100650813	988.999	918	1067.999	924	723	770	743.9995	808	661.999	806	663.0001	627
LOC100650814	2831.33	2380.98	3157.08	2933.42	2489.21	2484.5	5858.36	2232.9	1524.27	2616.01	1756.71	1782.85
LOC100650815	1	0	0	0	0	1	0	0	0	0	0	1
LOC100650816	696.0004	654.9996	753.0009	664.999	603.0002	640.9995	712.9998	650.473	530	526.9996	576.9999	567.9996
LOC100650817	5016.997	4104.9972	5032.0032	3909.9998	3280	3229.9949	4357.0016	3249.0046	3072.0028	4254	2766.9993	2972.998
LOC100650818	2637	2652	2618	2447	2187	1990	2715	2375	2427	2158	1448	1990
LOC100650819	766	886	813	750.9997	659	749	901.312	691.9992	637	661	595	652
LOC100650820	12183.017	19562.008	16199.982	24390.996	11392.969	11919.959	17908.031	22834.955	18386.998	18380.009	13513.979	10516
LOC100650821	738	848	648	524	418.0001	496	682	627	694	493	433.0003	546
LOC100650822	1355.003	1596.001	1380	1330.002	1138	1291.004	1540.003	1146	1170	1162	956	1070
LOC100650824	915	904	829	784	551	744	837	723	653	653	583	610
LOC100650825	396.65712	467.1044	383.8429	323.2875	361.9819	306.0861	512.5289	387.7849	323.70071	367.4822	264.5156	319.7683
LOC100650826	412	428	367	338	310	319	517	316	371	447	280	257
LOC100650827	483	562	385	439	393	479	443	424	437	317	314	351
LOC100650828	747.0001	722.99989	672.0007	724.0002	614.9996	640	800.000000576099	612.999640268	517.0008	639.0009	540.0004	525.9999
LOC100650829	3766.001	3084.004	3409.9971	2670.99842	2681.9994085	3130.003	3996.001	2731.0003	2378.0001	2874.001	2440.9976	2436.000119
LOC100650830	336	449.9995	379.9999	327.9999	240.0002	319.0001	414	285.0002	252.9997	307.9995	295.0002	278
LOC100650833	1338.9983	2119.99831	883	2545	1502.04521	1817	2039.9972	2168	2001	1783	1684	1310
LOC100650834	124.99993	115.00002	81	96.99996	109.99994	73.99996	97.99996	114.00002	43.99998	49	60	58
LOC100650835	839.171	823.885	554.753	746.1943	613.7198	694.7549	843.6236	550.9791	560.7	477.44719	622.7995	422.928
LOC100650836	2878.93	3834	2979.91	3383	3368	3648	7966	2727	2597	2138	2657	2441
LOC100650837	8967.477	11238.21	9238.872	9269.924	7883.92	9333.99	10063.845	7939.851	9583.96	9679.809	7851.483	7584.047
LOC100650839	89	108	90	91.99998	51	57	298.0004	60	108	128	74	47
LOC100650840	1355	1159	1224.54	996	934.478	898.416	1332	980	901	1031	688	786
LOC100650841	416	534	531	476	416	424	522	379	387.302	416	319	381
LOC100650842	1190	1149	1128	1002	942	1103	1123	966	939	994	778	938
LOC100650843	2970.005	2746.002	3307.001	3201	2194.004	2464.004	2757.997	2572.003	2147.003	2038.997	1916.005	2271.996
LOC100650844	2734.0302	3132.006406203	2349.9969	2256.9994	1909.0004	2535.9978392	3669.0059	2210.000272327	1941.999308	2828.0459	2427.003859	2142.00521
LOC100650845	3185.99700110202	2861.99619	2522.9991	2572.00158	2352.9973	2677.998	2948.9974136	2994.00360476	2615.0028	2657.9989	2009.99888	2232.9998065
LOC100650846	1613.9994	1881.9963	1760.0006	1439.9999	1243.9994	1473.0001	1525.9995	1287.9993	1260.0005	1140.9994	1110.9999	1420.9999
LOC100650847	318	386.9999	271.0004	315.9999	243.9998	314.0002	319	255.9998	271.0001	257.9998	227.9996	258
LOC100650848	468.00009826	458	348.00013255	442.000056	263.999800044764	588.99990771176	269.000000023393	404.99963	395.00010443406	272.9998	362.000500021037	298
LOC100650849	2121.996	2365.004	1972.001	2014.004	2217.999	1930.001	3232	2475.001	2119.998	1358	1380	1584.997
LOC100650850	1769	1455	1751	1465	1213	1177	1299	1584	1666	1340	1194	1117
LOC100650851	262.0003	232.00049832	203	200.9995	224.9996	187.000043	285.0004	226.0000487539	243.9999	280.9998	146	145.0004
LOC100650852	735	998	692	713	741	673	860	939	874	655	585	591
LOC100650853	1468.0019	2339.9958	1320.0025	2466.0044	2356.004	2812.996	2738.9997	2159.9999	2515.9987	1518.9996	2407.0005	1947.0034
LOC100650854	7890	8945	7455	7209	6137	6805	7695	6913	7030	5808	5121	6247
LOC100650855	3530.995	3768.001	3474	3062	2670.003	3123.999	3878.993	3005	2713.996	3202.002	2638.994	2521.995
LOC100650856	1728.9959	1521.9981	2073.0034	1328.9976	1116.9999	974.0006	1673.9961	1368.9992	1203.9994	1561.0042	756.0007	966.0001
LOC100650857	1440.4157	891.3911	1079.5828	1569.604	956.0838	816.2137	1737.7469	1238.5305	2180.74	4639.357	1807.1592	594.6992
LOC100650858	425.0002	568.0004	326.9993	497.9993	359.9999	494.99979	324.9995	373.0001	552.0001	436.9996	517.9995	399.0004
LOC100650859	285	210	171	159	166.586	183	198	85	136	108	104	143
LOC100650860	32	53	30	28	37	23	45	27	27	41	18	30
LOC100650861	3263	5501	2924	5694	4577	5418	5270	4528	4641	3082	4692	3911
LOC100650863	180.658	168	277.54	89.3033	72	111	72	91	71.4869	107	41	128.759
LOC100650864	125	114	156	101	168	124	117	211	61	137	92	56
LOC100650865	253.79822	275.8977	248.4954	218.56218	171.35693	235.2105	313.64494	167.56583	211.48074	242.07529	181.86714	187.66786
LOC100650866	785	1284	798	1035	868	1056	1190	909	891	833	775	771
LOC100650867	1820	2771	1894	2463.99	1621	1942.98	2105	1882	1744	1399	1637	1807
LOC100650868	1502	1364	1300	1080	1014	997	1223	1270.9993	839	1093.9952	799.0004	894
LOC100650869	5922.9964	8269.999	4250	8204.997	6332.998	6922.002	4833.9969	7098.0007	7801.993	3510.0007	4582.0038	5368.005
LOC100650870	426.1736	618.048	479.356	447.7781	357.5041	402.0159644719	461.622700329178	443.56899	456.26995	328.7519	297.577164	390.0626
LOC100650872	4523.9976	4005.0081	4083.9926	3639.9948	3211.9999	3532.9995	4109.9984	3437.997	3226.001	3520.9974	3030	3007.0004
LOC100650873	282	310	274	262	243	211	289	252	213	299	186	185
LOC100650874	6825	12151.9	10303	10711	10066	9758	15181	11117	10067	6590	6059	9230.98
LOC100650875	666	613	566	459	468	409	601	490	429	485	373	440
LOC100650876	478	479.00003	433.00010308541	458.99991	387.00016	434.9995	519.9997	446.99963	410.9995	403.99996	358	365.0004
LOC100650877	783	908	869	764	646	737	1098	659	682	733	615	577
LOC100650878	219	310	203	240	183	229	110	216	211	136	200	186
LOC100650879	289	206	246	160	183	169	185	203	176	111	169	194
LOC100650880	8900	10674.003	9078.01	8301.003	7985	9590.01	11719.99	8200.99	7689	6475	7185.001	8097.999
LOC100650881	5467.004554	4061.99647	4920.9928935	3932.996884066	3787.99838	3593.995969	5360.00240891	4199.996	3337.002	3677.996753041	2433.99750264455	3056.99764331
LOC100650882	1462	1564	1534	1221	1271	1415	1751	1282	1032	1258	1187	1096
LOC100650883	1906.999	1931.9999	1722.99935	1606.9996	1258.9998	1482.9991	1473	1365.0006	1541.001	1435.9996	1022.00079	1221.9994
LOC100650884	5172.0043	2699.9998	4019.99490003437	3793.005	3310.0037	2570.0013	5609.06	3625.996	3362.996	4253.9962	1888.0006	1823.9995
LOC100650885	1007.4524	694.92162	797.5827	495.8143	806.7169	760.9066	1127.7749	997.75768	528.7425	397.2369	389.93008	495.9524
LOC100650886	2670.9983	4451.995	2704.999	2413	2404.0041	2771.003	2273.001	2406.002	2608.001	1770.001	2001.0006	2479.001
LOC100650887	279.9999	276.9998	263.9997	242.00032	196.000000657551	210.000197693	257.00020291963	213.00000279598	199	287.99987297	126	183
LOC100650888	592.6	931.449	602.067	751.291	428.942	588.608	653.482	525.924	591.947	448.356	561.969	628.674
LOC100650889	19283.1	26481.5	19078.6	18741.8	17545.3	19321.9	17433.2	19214.2	22502.5	16818.2	12783.5	18457.1
LOC100650890	1521.997	2741.999	1792.9999	2179.002	2122.003	2352.995	2246.996	2184.999	2331.996	1363.9959	1724.004	1880.998
LOC100650891	7873.9971	8132.9972	5477.0029	5886.9989	6407.997	5351.002	6684.005	6134.9935	5222.0035	4613.0009	3333.0001	5345.0059
LOC100650893	1522	2133	1824	1853	1596	2421	1871	2004	1642	1117	1712	1834
LOC100650894	1279.998	1615.0000012266	1341.00000215522	1341	1039.00000147494	1088	1321	1129.9973	1101.0047	1064	989.0000292379	1014
LOC100650895	1657.88	3121	1738	2492.76	1910	2479	2276	2058	2103.88	1497	2190.89	2093.89
LOC100650897	375	458	366	287	327	352	416	357	339	336	251	331
LOC100650898	270.9995	499.0001	293.9999	282.9993	267.9996	360.0005	301.0004	209	236.0003	212	329.0002	262.9996
LOC100650899	8	7	0	2	2	5	3	7	0	6	3	2
LOC100650900	126	164.9996	147.00021	112	116	100	142.9995	112.9997	130	122.0004	80	83
LOC100650901	980	1384	785	1273	999	1093	1399	1048	1015	805	962	877
LOC100650902	6001	9957	7118	7511	6581.001	8395.99	8855.01	7084	6960	5356.995	6281.004	6460
LOC100650903	165	156	120.000000023764	163.000000188244	121	108.0000101631	80.0000100266932	96	113	105	108	147
LOC100650905	4221	4725.002	4985.004	4183.005	3522.002	3819.999	4474.998	4477.002	3592	3080.999	2901.999	3502.9976
LOC100650906	1106.9997	1133.0003	1091.9994	967.0002	784.0001	767.9993	1217	784.9999	929	1073.0004	713.0003	685.0002
LOC100650907	825.9993	1111.999	778.9996	661.0001	583.00000133767	722.9999	768.9996	545.0002	668.9998	778.0003	607.0007	760.0004
LOC100650909	225.0001	286.9998	275.0002	242.9995	246.0002	219.9997	464.0001	188.0001	247	311.0003	162.0003	191.0004
LOC100650910	4182.002	4519.995	3850.004	3458.004	3587.001	3960.996	4277.004	3471.005	3282.997	2887.003	2986.998	3279
LOC100650911	961	1113	998	1052.3143	919	1142	1389.99580012313	1079.0004	1458.99989	1109	860	813.279300054609
LOC100650912	10288.997	11949.999	8100.9972	8534.9972	8995.998	11264.99	12398.006	7800.003	9159.008	9581	9406.0006	8119.002
LOC100650913	622	604	540	572	409	471	607	471	412	538	435	438
LOC100650914	219.0004	75.000010313348	139.99995	94.000016	100.0000325015	88.9999848999	145.00018625519	93.99998528034	169.0000517587	146.000233	30.00005	43.99999107274
LOC100650915	531	569	497	514	454.0001	434	553	478	424	402	349.0002	401
LOC100650916	96	154	93	117	100	97	158	124	92	134	60	103
LOC100650917	350	510	325	279	284	237	349	285	247	313	198	317
LOC100650918	1627.00259	1224.00102	1458.9999	1132.0008	1071.00037	1022.9998	1210.99955	1190.99941	1128.99993	1502.00006	796.99952	944.99987
LOC100650919	2342	3189	2227	2626	1916	2267	2459	2322	2312	1944	1726	1931
LOC100650920	2403.997	2238.997	2314.085	1763.001	1821.004	1847.001	2673.999	1848.005	1465.091	1580.999	1515.995	1716.173
LOC100650921	185	295	198	210	196	174	292	195	176	206	177	195
LOC100650922	0	0	0	0	0	0	1	0	0	0	0	2
LOC100650923	460	461	435	384	416	441	334	340	324	320	354	353
LOC100650924	1012.00056032503	825.000618027728	851.999889240017	806.00021	692.99979141051	602.0004	981.999946666901	614.000108257731	719.999933169778	660.00001043103	535.00011629	618.99981852
LOC100650925	3114.997	3840.001	2879	2781.0021109566	2681.005	3284.997	3553.9973	2516	3110.0045	3099.0019	2982.9977	2741.0015
LOC100650926	2103.001	1797.0001	1987.9998	1780	1798.9995	1533.0002	2982.995	2016.9996	1853.9999	1635.0007	1038.9999	1273.9997
LOC100650927	14006	12275	14030	7182	9586	11216	11688	10704	10833	11262	5981	19003
LOC100650928	7	9	7	5	4	4	9	11	5	14	5	10
LOC100650929	1382.002	1108	1204.004	1050	949	981.000297	1339.002	1054.00349	898	1028	661	824.99962
LOC100650930	5	0	2	2	3	3	1	1	2	3	1	1
LOC100650931	11.3749	20.8935	10.4802	16.7187	10.4615	10.4763	10.4275	11.5915	12.6956	10.4932	11.5092	12.6573
LOC100650932	2087.9996	2265.99779	2054.0035	1710.0005	1739.00011	1746.9994	2438.9991	2158.9963	1440.9995	1430.99951	1304.9993	1500.99953
LOC100650933	3539	6184	2860	2494	6849	4218	3499	6677	6407	1021	1411	3735
LOC100650934	1145.455	1178.5611	1057.956	1033.999	903.8673	913.907	1306.577	991.944	1002.937	1032.901	756.855	777.9994
LOC100650935	1626.17147	1904.99757	1818.00172	1309.99658	1341.003	1551.00049	1645.0026	1545.1158	1318.004	1236.0036	1174.9961	1353.99738
LOC100650936	1020	983.00084	662.99964	688.99957	643.99905	634.99987	987.9995	681.99997	690.00106	685.0000135	465.00054	627.00095
LOC100650937	60.6214	40.7012	47.6505	48.2204	46.444	21.2342	46.5295	30.7873	33.6277	55.4	16.888	38.7983
LOC100650938	58.97419	30.99997	35.2867	39	16.37153	27.10549	24.0388	20.00001	19.00001	23.99999	14	20.99997
LOC100650939	1533.0002	1038.99939221411	1587.956505	1351.99805517866	1224.99599781	1361.9959	1329.99553588	1148.00330041	1240.8809	1067.0000129448	981.99988	1044.0003
LOC100650940	3394.9997	3854.995021709	3072.9266	2711.8756641	2757.0007	2992.9169	4040.995	3165.9521	2315.00470944923	2747.9069	2403.87652	2417.84132
LOC100650941	22	48.00005	38.99999	35.99998	23.00004	33.99999	21.00003	21.99998	35.00003	35.00003	26.99998	42.99997
LOC100650942	7796.009	9678.01	8261.999	6809.005	6434.004	6702.996	8981.003	5817.001	6498.002	7110.001	5319.004	5831.997
LOC100650944	6	1	0	2.00005	8	0	0	7.0002	2.00011	0	3.00012	5
LOC100650945	163	131	92	128	93	253	105	100	149	123	137.0003	113
LOC100650946	340.641	354.653	325.311	315.269	271.494	334.909	336.678	284.691	290.503	297.341	253.338	259.796
LOC100650947	11018.9917	18799.95432	12436.9975	9467.0049	7547.9933	13318.9989	5843.997	9156.99487	6779.99891	5503.99359	5952.9981	11054.9949
LOC100650948	165	186	184	163	146.957	161	177	190	162	148	126	116
LOC100650949	1496	1231	1592	1207	1150	1130	1342	1303	1090	1133	802	979
LOC100650950	1198.888	1248.502	1076.3305434066	961.2386	905.6141	760.56976	1002.3755	891.3573	871.3391	941.5526	584.6807	714.37551
LOC100650951	215.0655	168.0002	151.0954	117	156.9996	168.0004	260.0002	161.9998	122	126	98	116
LOC100650952	1727.834	668.48508	1219.544	930.46024803	1196.760572617	745.09438931	1305.7641856	1388.289	1182.7599072	971.0017	498.6005	675.8809175217
LOC100650953	2280	2726	2258	2484	2035	2265	2883	2583	2183	1854	1771	1940
LOC100650954	34.00001932	24.00003	18	24.99996	25.0000100256511	17	31	28	23.99998	41.00003	18	18.0000300120948
LOC100650955	7903.004	6853.001	6747.999	5723.003	6586.999	5709.608	6523.001	4987.002	6262.002	5892.996	4565.995	4434
LOC100650956	25	32	28	18	17	13	34	22	27	35	16	20
LOC100650958	276	274	306	260	212	210	264	225	271	201	231	232
LOC100650959	3079.179	2176.474	2645.923	2037.825	1969.865	1752.952	2430.155	2106.269	2160.135	1770.792	1270.8935	1635.19
LOC100650960	1888.9996651	1007.99984741588	1008.999305	818.99977133	1527.99591262408	1037.9992252552	1651.99531504004	1439.99927476457	1273.99973	1266.99973	693.9992053	747.001000436319
LOC100650961	1639.9988	1321.999	1736.9994	1397.00018	1093.0009	1109.0002	1395.0002	1383.0005	1084.9998	1145.9999	810.00023	1072.0001
LOC100650962	6106.9989	3873.995	4210.9994	3416.995	3801.9923	3763.006	5469.0069	4111.0046	3280.001	4764.9952	2536.9996	2569
LOC100650963	622	1327	872.9997	1116.0003	784.99953	854.99962	1342	948.99958	841.00033	737.99985	772.99974	843.00006
LOC100650964	4973	3534	2140	1764	3345	4205	8675	3262	1742	3440	1078	3603
LOC100650965	7.0000003085878	6.0000000678498	8.000000399142	0	1.9999952183523	1.0000000124703	1.9999980846096	0	6.000000037045	0	0	3.0004901147038
LOC100650966	850	973	800	783	800	912	1038	851	785	765	683	733
LOC100650967	38832	63838	40577	56589	41751	46277	51678	47254	51438	33527	42368	43293
LOC100650968	181	178	129	140.9995	117	81.9999543504	186	118.00002	122	162.0003	66	106
LOC100650969	642.00000017709	735.0005	718.9998	656.9988	511	566.000000151817	765.999	583	478	743.0004	452	499.0006
LOC100650970	639.9996	555.99973	407.000448	394	356.9997	312.00042	333.00008	642.99948	289.000315346212	279.0002	230.92559	309
LOC100650971	3094	3659.997	2948.9988	2589.996	2496.002	2787.9988	4108.0027	2659.0012	2398.0025	2672.9967	2149.999	2390.999
LOC100650972	977	1267.4554	1044.392	575.571	512.02262001	684.5012	497.8537	538.0001	397.4802	391.6878	271.9996	723.19
LOC100650973	594.0433	468.1421	520.283100053708	465.3823	513.454600018729	444.7224	723.852752445	401.73446	434.4609	630.313394	311.312000012566	337.5832
LOC100650974	1339.409	1264.83	1294.369	1077.329	983.519	1090.77	1257.927	1155.252	1094.759	973.761	785.826	880.444
LOC100650975	7258.76	6777.11	6876.38	5862.86	5388.12	5832.69	6370.01	5864.33	5353.05	4745.73	4524.62	5433.4
LOC100650976	797.244	623.72352	662.3135	668.4805	592.99994	595.75243	784.8599	675.406412	543.1642	625.889	464.3438	502.93790121566
LOC100650977	232.999908993	330.00001	331.77505	319.0001	245	337.80409	335.00005	257.93218	264	299	215.00006	239.99999
LOC100650978	217	193	85	142	124	154	61	185	135	122	174	136
LOC100650979	573	659	481.0003	547	466	491	664	521	532	503	491	393
LOC100650980	257	310	364	342	202	283	325	239	222	268	227	250
LOC100650981	244	246	117	137	160	135	204	206	164	184	89	132
LOC100650982	393	190	229	163	199	225	1244	213	234	567	102	120
LOC100650983	396.99951	377.99996	356.00018	326.0001	344.9995	356.0004	422.0005	362.0008	403.9998	359.9995	220.99994	325.0001
LOC100650985	2400.9948	3478.9896	2185.9999	2719.0023	2381.9956	2656.9928	3073.9842	2842.9979	2800.9934	2168.9949	2160.996	2253.0026
LOC100650987	2096.0004552	2207.9997	1948.0021	1557.9997	1721.000637566	1810.0008	2295.0001	1869	1626.0008	1608.0005	1309.0003	1646.9992
LOC100650988	61.99999	45.99996	54.99992	28.00002	29.99998	31.99996	56.99999	46.99999	44.99999	48.00001	21.00002	41.00003
LOC100650989	89	30	25.99996	33	51	63	53.000000896918	54.00001	50	66.99998	22.00001	22
LOC100650992	348	438.9994	372	269	223.0003	251.0005	364.99984	228.99977	239.9997	272.0005	264.0004	314.9997
LOC100650993	6	1	10	3	0	7	7	3	1	4	4	0
LOC100650994	609	587	488	475	396	455	600	454	422	469	294	355
LOC100650995	718	1762	792	767	767	901	673	1219	823	545	968	1152
LOC100650996	42	32	17	19.00002	19	12	31	19.00002	21.00004	20.00005	7	12.00002
LOC100650997	5152.0034	4979.9949	4834.9979	4264.9964	3889.9966	4354.9973	4597.0002	4709.0014	3946.9969	3228.0033	3043.99756	3642.005
LOC100650998	339	548	504	444	296	398	482	354	370	354	300	337
LOC100650999	5706.717	5709.096	5040.4634	4262.3139	3862.5093	4280.003	4553.1038	4002.7087	3727.663	3591.296	3208.5406	3685.803
LOC100651000	241.63326	346.4421	195.2726	205.49097	153.73541	222.0436	258.2305	235.00138	209.209	195.10252	163.25092	217.9183
LOC100651001	1061.5895	683.6662	782.0993	721.6076	680.535000893043	694.261	1135.913	822.5799	541.5641	696.5316	587.0627	558.263
LOC100651002	846.0152	735.4891	770.529700821784	541.7195	608.59988	582.2165	808.8449	629.9717	514.8399	557.874	455.1993	489.05
LOC100651003	3321.002	3579.996	3289.993	2864.998	2716.004	2821.9984	3275.0027	2810.998	2903.9989	2456.003	2304.001	2809.002
LOC100651006	4631.418	3589.3703	3620.2373	3685.2226	3424.4413	2930.444903045	3880.9143	3474.2488	3371.0009	2691.3291	1777.8837	2062.1174
LOC100651007	1254.01	1727.87	1244.74	1293.99	1237.33	1357.97	1658.36	1240.78	1312.68	990.728	1246.78	1149.64
