BT_A_N_001	BT_A_N_025	BT_A_N_029	BT_A_P_014	BT_A_P_026	BT_A_P_030	BT_A_SL_003	BT_A_SL_027	BT_A_SL_031	BT_A_SM_004	BT_A_SM_028	BT_A_SM_032
LOC100642295	2660.9976	2217.99988	2970.002	8160.9984141	4140.004979	1860.999091	4712.002	4939.994	3442.997359	3475.78083576	4034.80373649	1359.136503
LOC100642296	366.9997	1085.0021	469.0005	983.9997	571.0001	758.0003	459.0002	687.9996	440.0001	543.0004	676.0003	660.9999
LOC100642297	32189	20171	27765	15115	22941	27461	22583	27293	20806	19175	12528	17658
LOC100642298	26	31	28	20	20	14	19	10	10	26	14	22
LOC100642299	8953.0063	10984.996	7555.99900236847	8216.0005	8494.0112	7930.9992	11851.002000059	8102.9858	8092.9953	8897.9970159404	5806.9978	5972.0045
LOC100642300	7840.766	9503	8314.001	7289.0003	7107.9998	7940.8399	9138.445	7368.003	7268.9963	6794.9998	7067.999	6678.432
LOC100642301	524.683	578.717	487.472	525.875	424.794	461.504	474.5	431.545	414.004	422.856	368.521	379.872
LOC100642302	2	1	1.5457	1	2	0	0	2	4	1	1	3.89863
LOC100642303	3525.996	3558.001	3535.997	3548.997	2993.001	3144.001	3597.994	3929.001	3154.998	2359	2378.999	2852.006
LOC100642304	307	314	316	276	255	241	303	278	231	263	217	217
LOC100642305	2706.32	2817	3052	2440	2301	1931.25	3549	2380	2573.3	2411	1538	1774
LOC100642306	281	212.0005	154	176.0003	138	231	138	177	227	230.0003	183	115
LOC100642307	1030.55	887.711	993.107	886.713	832.678	665.465	1009.68	995.732	688.654	598.466	559.48	627.44
LOC100642308	168	144	144	104	127	166	159	149	99	104	109	95
LOC100642309	4278	5458	3215	4432	5048	5708	5843	4171	5165	4051	4627	3731
LOC100642311	939	1212	903	1021	748	836	1040	898	719	764	644	726
LOC100642312	537	818	588	677	469	646	643	562	450	487	574	575
LOC100642313	1033	1331.003	1156	1055	882	1172	1423	976	870	908	972.9999	853
LOC100642314	529.0829	464.9998	460.9999	442.99997	352.0000636	399.0002	566	457.2137	323.9995	331.9993	320.3027651	347.290000676224
LOC100642315	1488	1534	1061	1201	1367	1466	1956	1490	1241	1559	1381	1029
LOC100642316	529	780.344	652.669	634	457	602	655	477	523.814	493	511	443
LOC100642318	8312	8164	5938	6956	7255	8419	8227	6898	7295	7139	6106	5301
LOC100642319	1065	684	718	738	643	652	839	655	487	691	523	491
LOC100642320	1826.001	1931.003	2031.002	1730	1569.003	1647	2430.997	1803	1256	1630	1210	1377.001
LOC100642321	1731.0041	4854.9989	1719	3593.0002	2183.004	3502.0033	1079.9953	2796.0018	1661.9958	1360.004	2498.999	2178.9966
LOC100642322	120.285	166.506	109.1572	131.0002	101.029	83.0911	96.1963	118.076	113	146	68	76.217
LOC100642323	366	410	363	312	233	305	352	244	218	252	237	297
LOC100642324	93	137	77	72	74	147	77	105	38	107	104	102
LOC100642325	7	11	7	3	1	2.07668	3	7	6	6.25006	1	7
LOC100642326	2406.6574	5018.9712	3679.849	4315.0383	3195.9059	3777.2181	4139.7799	3546.2572	3878.1876	2843.6745	3066.2226	3419.0939
LOC100642327	632	670	606	561	539	550	729	507	495	562	474	402
LOC100642328	1704	2361.998	2094.003	854	691.9999	973	737	1350	993	524.0001	512	1190
LOC100642329	218	224.246	241	249	193	175	230	240	192	142	161	165
LOC100642330	166.2007	146.315368	153.5561	139.6947	160.29633	158.3345	141.2497	171.6119	155.92267	156.3622	100.216054665	124.29958066
LOC100642332	8771.75901	9606.1468	8586.10296787	6523.56997	7254.35163	7189.09914	8085.14063	7141.35146	7272.6766	5672.14081	5278.883669	6575.22127
LOC100642333	884	1035	937	772	787	856	939	854	703	658	622	692
LOC100642334	41	34	34	45	22	24	71	30	56	74	17	31
LOC100642335	910.788	1281.522	836.89	1060.994	834.4	905.228	1376.213	865.052	870.253	870.037	791.06	754.056
LOC100642336	3020.996	7737.003	2325.0005	2304.9968	1908.9977	3788.004	2355	2890.001	3672.002	2882.997	1864.0014	2633.004
LOC100642337	283.073	255.497	201.953	220.918	268.704	235.45	343.596	275.74	314.889	309.723	169.443	190.975
LOC100642338	539.6165	375.571951	356.91822	311.2164	317.2876	322.324	347.25243	333.5491	366.2791	447.47310284137	230.2428	293.35398
LOC100642339	7981.9979	12171.9544	9393.0026	7141.0012	6950.0006	5897.0032	7908.0014	7476.999	10373.9966	4949.99997	4002.9975	6355.9972
LOC100642340	3439.995	7793	6468	3939.002	4262.995	4159.996	5008.003	4574.997	5346	2400.001	2623.995	4138.998
LOC100642341	222	301	223	221	222	209	334	215	227	199	152	189
LOC100642342	1259	1381	1243	1232	923	1194	1210	1116	1015	956	874	1080
LOC100642344	2465	4085	3940	4168	3481	4234	4811	3627	2201	2129	2895	3237
LOC100642345	485.16	603.635	645.313	523.144	428.512	416.258	554.936	442.873	379.5224	465.658	409.991	388.954
LOC100642346	430	530	484	483	392	411	564	414	401	385	390	455
LOC100642347	981.718	1336	1314	1103	937	1159	1316	976	882	881	857	1007
LOC100642348	979.777	1052	855	826	831	1053.56	961	701	1069	762	965	717.491
LOC100642349	7487.2287	7060.9453	5499.0851	5143.7068	5510.3264	4679.61090080137	9132.2831	6572.514	6308.9203	4632.0483	3530.7778	4134.8977
LOC100642350	21	43	40	32	29	43	34	32	24	16	39	37
LOC100642351	5	6	23	9	10	9	6	12	6	2	13	9
LOC100642353	3820.05	3242	2639	2918	2390	3159	3814	2912	2362.004	2398.26	2244	2611.311
LOC100642354	193.004	225	167	123.055	136	157	150	171	160	181	139	155
LOC100642355	41	33.00003	23.00002284	33.00003424	32.999959243709	18	28	36	20.99998	34.000007	27.00000107207	36
LOC100642356	3367	4565	3880	4015	2927	3558	4165	3482	3011	2689	2571	3076
LOC100642358	1096	749	535	516	581	682	445	556	590	519	593	447
LOC100642359	6	6	20	5	9	13	8	8	15	7	7	9
LOC100642360	147.99965	146.99996	142.00003	116.99999	82	124.00007	111.00006	105.00002	123.9999	145.99994	79.99999	101.99992
LOC100642361	456.176	431.9898	399.0466	350.7673	301.7635	386.4127	514.595	347.0444	349.5782	369.141	339.7401	277.0395
LOC100642362	1233.00132984	1165.00149912	1082.9994386	1136.00000480533	1004.00000176835	1112.9998711	1535.00294144	1400.000402378	1112.99593243	940.00000300983	924.99985154	881.0000489059
LOC100642363	1601.701	1544.568	1431.041	1384	1235	1228.175	1838.0039	1191.003	1170.163	1425.00229	1084.07	1021
LOC100642364	4058.999	5348.005	4425.002	3984.997	3643.995	4511.995	5493.998	3557.002	3605.001	3365.998	3476.004	3828.003
LOC100642365	470	455	346	334	323	357	485	342	322	339	265	290
LOC100642366	2242	1924	1702	1527	1829	1713	2447	2030	1504	1581	1451	1288
LOC100642367	16	21	22	19	10	14	5	7	14	28	8	18
LOC100642368	423.3293	466.234	342.2707	306.0001	375.9998	342.4041	427.3855	370.9999	269.9996	233.7903	141.99989	270.35673
LOC100642370	1548.5561	774.06710008403	990.4315	619.681300068284	540.2199	543.1222	751.1761	812.2523	471.1854	648.97	395.46717	520.3471
LOC100642372	216.0002	284.0001	313	224	207	262.9999	315.9997	182.0001	166.9999	263.0001	212	173.99998
LOC100642373	238	269	252	228	184	217	249	212	170	224	172	179
LOC100642374	402.000132535	345.0002	400.0004	336.00004	222.00037	365.000336	342.0002	268	242.0002	441.0005	242.0003	256.00052
LOC100642375	316	429	301	384	322	459	524	282	285	423	516	342
LOC100642376	2229	4385	2441	3483	3039	3769	4023	3186	3434	2241	2972	3268
LOC100642377	1224	1353	1144	768	752	640	699	750	889	912	742	727
LOC100642378	910.0004	759.0003	834.9997	826.9999	609.0003	706.00036	880.0002	767.9998	601.00025	606.0001	519.99958	666
LOC100642379	750	858.57	513.263	638.867	624	644	684	609.957	641	619.72	483.665	553.825
LOC100642381	1924	2861	2050	2457	2350	2783	3205	2186	2353	2169	2345	2063
LOC100642382	5	6	3	5	3	2	5	3	4	2	7	9
LOC100642383	75.99998	144.99989	104	103.00005	80	83.99994	89	73.00003	164.99952	137.99983	67	74.00004
LOC100642384	333.59	408	387	345	355	385	397	357.669	320	258	249	285.669
LOC100642385	375	435	381	316.0005	308.0001	299.9996	407	356	267	293.9997	259.9998	253
LOC100642386	2673.51	2452.66	2071.5	2374.59	1967.32	2086.53	2688.97	2094.51	2149.95	1834.92	1718.43	1790.81
LOC100642387	26	19	19	22	8.9999955	16.9999832	20	25	15	25	4.9999984	29
LOC100642388	1464.998	1211.002	1420.998	1161	1095	1127	1518.998	1159.998	1110	1150	717.9998	826.0003
LOC100642389	9294.004	8304.999	7272.003	8390.002	8002.001	6252.002	8542.001	11232	11029	5718.995	4252.995	4976.996
LOC100642390	2339.0016	3265.9997	2392.0019	2658.9949	2017.0034	2255	2263.9984	2246.9967	2134.9995	1942.0013	1925.0034	2183.9973
LOC100642391	734	1051	744	893	721	791	993	829	689	673	640	727.622
LOC100642392	3158	3627	3588	3408	2650	2763	3766	3391	2866	2971	2106	2470
LOC100642393	38	53	56	59.0136	46	64	72	42	49	68	48	42
LOC100642394	496	413	519	383	407	364	442	456	437	349	230	460
LOC100642395	122.00011	110.1374	106	89.07723	64.11527	83.05467	107.06756	78.22914	68.00003	102.350219563	63.05319	89.00004
