target_id	length	eff_length	est_counts	tpm
Caust.v2_010943-RA	774	513.841	3775	280.915
Caust.v2_010918-RA	1569	1308.67	535	15.6319
Caust.v2_010945-RA	339	88.1329	49	21.2591
Caust.v2_010929-RA	1884	1623.67	457	10.7623
Caust.v2_010920-RA	318	72.0285	60	31.8518
Caust.v2_010930-RA	7608	7347.67	3787	19.7076
Caust.v2_010942-RA	2310	2049.67	2259	42.1424
Caust.v2_010924-RA	297	58.0721	5	3.29222
Caust.v2_010925-RA	5697	5436.67	1635	11.4993
Caust.v2_010946-RA	1773	1512.67	150	3.7917
Caust.v2_010926-RA	2073	1812.67	952	20.0819
Caust.v2_010931-RA	315	69.9422	674	368.475
Caust.v2_010947-RA	324	76.5121	17	8.49584
Caust.v2_010949-RA	627	367.126	199.5	20.7785
Caust.v2_010942-RB	2118	1857.67	0	0
Caust.v2_010949-RB	627	367.126	199.5	20.7785
Caust.v2_010948-RA	1620	1359.67	2	0.0562449
Caust.v2_010941-RA	519	259.527	687	101.219
Caust.v2_010928-RA	627	367.126	1610	167.686
Caust.v2_021401-RA	1725	1464.67	0	0
Caust.v2_021131-RA	423	164.814	6.25239	1.45057
Caust.v2_014953-RA	2226	1965.67	245	4.76587
Caust.v2_014956-RA	1587	1326.67	8	0.230576
Caust.v2_014955-RA	588	328.252	0	0
Caust.v2_018017-RA	246	35.1716	1	1.08716
Caust.v2_018018-RA	462	203.055	0	0
Caust.v2_018016-RA	1431	1170.67	16	0.522604
Caust.v2_020315-RA	297	58.0721	12.786	8.41885
Caust.v2_018174-RA	783	522.841	2.13252	0.155959
Caust.v2_018175-RA	10200	9939.67	5.39716	0.0207625
Caust.v2_018176-RA	942	681.713	242.156	13.5825
Caust.v2_020859-RA	2205	1944.67	4	0.0786504
Caust.v2_022008-RA	546	286.366	0	0
Caust.v2_007800-RA	2010	1749.67	242	5.28867
Caust.v2_007817-RA	2955	2694.67	855	12.1324
Caust.v2_007794-RA	582	322.272	54	6.40705
Caust.v2_007798-RA	3093	2832.67	1717	23.1772
Caust.v2_007793-RA	4515	4254.67	272	2.4445
Caust.v2_007810-RA	10932	10671.7	962	3.44691
Caust.v2_007807-RA	861	600.794	336	21.3846
Caust.v2_007813-RA	564	304.33	147	18.4697
Caust.v2_007809-RA	348	95.5202	2913	1166.09
Caust.v2_007811-RC	4053	3792.67	315.75	3.18336
Caust.v2_007811-RB	4053	3792.67	315.75	3.18336
Caust.v2_007781-RA	225	30.3166	122	153.874
Caust.v2_007796-RA	3924	3663.67	178.798	1.8661
Caust.v2_007814-RA	591	331.239	649	74.9187
Caust.v2_007811-RA	4053	3792.67	315.75	3.18336
Caust.v2_007805-RA	2319	2058.67	906	16.8278
Caust.v2_007782-RB	396	138.828	2676.5	737.186
Caust.v2_007782-RA	396	138.828	2676.5	737.186
Caust.v2_007812-RA	666	406.024	116	10.9243
Caust.v2_007811-RD	4053	3792.67	315.75	3.18336
Caust.v2_007815-RA	2343	2082.67	386	7.08686
Caust.v2_007800-RC	2010	1749.67	242	5.28867
Caust.v2_007801-RA	210	28.4354	255.5	343.573
Caust.v2_007806-RA	582	322.272	6735	799.101
Caust.v2_007808-RA	1113	852.671	965	43.2746
Caust.v2_007799-RA	2808	2547.67	150	2.25131
Caust.v2_007803-RA	4212	3951.67	695	6.72498
Caust.v2_007804-RA	1413	1152.67	1183	39.2434
Caust.v2_007800-RB	2010	1749.67	242	5.28867
Caust.v2_007801-RB	210	28.4354	255.5	343.573
Caust.v2_007791-RA	2286	2025.67	1530	28.8808
Caust.v2_007782-RC	321	74.2399	0	0
Caust.v2_007787-RA	927	666.755	3	0.172045
Caust.v2_007785-RA	3717	3456.67	44	0.486723
Caust.v2_007783-RA	1674	1413.67	2357	63.7527
Caust.v2_007810-RB	10932	10671.7	962	3.44691
Caust.v2_007801-RC	522	262.505	1531	223.01
Caust.v2_007788-RA	1047	786.671	2	0.097213
Caust.v2_007802-RA	1404	1143.67	721	24.1058
