Def	NM_001280909.1
LOC100642876	XM_003395120.3
LOC100642877	XM_012309079.2
LOC100642878	XM_020863156.1
LOC100642879	XM_003395782.2
LOC100642880	XM_003396263.2
LOC100642881	XM_003396579.3
LOC100642882	XR_132025.3
LOC100642883	XM_012310920.2
LOC100642884	XM_020864269.1
LOC100642885	XM_012311072.2
LOC100642886	XM_020864216.1
LOC100642887	XM_020864806.1
LOC100642888	XM_003397474.3
LOC100642889	XM_003397799.3
LOC100642890	XM_003398362.3
LOC100642891	XM_003398766.3
LOC100642892	XM_020865418.1
LOC100642893	XM_012313859.2
LOC100642894	XM_003399331.3
LOC100642895	XM_020866066.1
LOC100642896	XM_012314961.2
LOC100642897	XM_020866222.1
LOC100642898	XM_020866275.1
LOC100642899	XM_020866328.1
LOC100642900	XM_003400703.3
LOC100642901	XM_003400943.3
LOC100642902	XM_020867057.1
LOC100642903	XM_012316962.2
LOC100642904	XM_003401748.3
LOC100642905	XM_003401985.3
LOC100642906	XM_020867592.1
LOC100642907	XM_012318925.2
LOC100642909	XM_020867978.1
LOC100642910	XM_012310646.2
LOC100642911	XM_003392896.3
LOC100642912	XM_020864170.1
LOC100642913	XM_003393137.3
LOC100642914	XM_012310052.2
LOC100642915	XM_003393293.3
LOC100642916	XM_003393373.2
LOC100642917	XM_012316636.2
LOC100642918	XM_012320503.2
LOC100642919	XM_012307703.2
LOC100642920	XM_012321370.2
LOC100642921	XR_001098636.2
LOC100642922	XM_012308035.2
LOC100642923	XM_012309013.2
LOC100642924	XM_003395447.3
LOC100642926	XM_003396021.3
LOC100642927	XM_012310086.2
LOC100642928	XM_003396499.3
LOC100642929	XM_020863779.1
LOC100642930	XM_020864547.1
LOC100642931	XM_020864565.1
LOC100642932	XM_012312259.2
LOC100642933	XM_012312501.2
LOC100642934	XM_012312528.2
LOC100642935	XM_020865492.1
LOC100642936	XM_012314843.2
LOC100642937	XM_003399812.3
LOC100642938	XM_020866490.1
LOC100642939	XM_003400782.3
LOC100642940	XM_020866710.1
