target_id	length	eff_length	est_counts	tpm
NM_001171006.1	3549	3291.2	200.761	5.57075
NM_001171051.1	4101	3843.2	87.2554	2.07342
NM_001171108.1	1209	951.196	0	0
NM_001171169.1	1520	1262.2	1146.01	82.9179
NM_001172378.1	1201	943.196	944	91.4025
NM_001172379.1	1114	856.196	748	79.7841
NM_001172389.1	1026	768.196	3360.28	399.477
NM_001172404.1	2427	2169.2	951.866	40.0742
NM_001172406.1	908	650.224	375	52.6691
NM_001172718.1	2641	2383.2	345.657	13.2456
NM_001174139.1	720	462.373	0	0
NM_001174140.1	599	341.542	4	1.06956
NM_001174141.1	1037	779.196	90.7638	10.6378
NM_001174142.1	773	515.373	0	0
NM_001174143.1	884	626.253	3685.92	537.508
NM_001174145.1	871	613.253	45	6.70133
NM_001177490.1	1091	833.196	2011	220.421
NM_001177903.1	404	148.295	0	0
NM_001178021.1	842	584.279	1503.53	235.006
NM_001178022.1	816	558.304	0	0
NM_001178023.1	1095	837.196	0	0
NM_001178024.1	1194	936.196	518	50.5302
NM_001178025.1	2265	2007.2	44.4095	2.02057
NM_001178026.1	2037	1779.2	4092.21	210.05
NM_001178027.1	830	572.279	3845	613.587
NM_001178028.1	1029	771.196	25.6162	3.03346
NM_001178047.1	1538	1280.2	654.521	46.6912
NM_001178048.1	1331	1073.2	1062	90.3719
NM_001178067.1	626	368.464	379	93.9359
NM_001178069.1	1627	1369.2	20.8193	1.38863
NM_001185079.1	3029	2771.2	323.5	10.6609
NM_001185105.1	3075	2817.2	1057.23	34.2721
NM_001185144.1	565	307.642	9027	2679.7
NM_001185145.1	1666	1408.2	6975.24	452.36
NM_001185146.1	1648	1390.2	11554.8	759.055
NM_001190421.1	2277	2019.2	108.745	4.91836
NM_001190920.1	1626	1368.2	3.22535	0.215286
NM_001190921.1	1401	1143.2	90.964	7.26669
NM_001191048.2	6581	6323.2	151.497	2.18804
NM_001193290.1	1551	1293.2	0	0
NM_001202460.1	1962	1704.2	4.09414	0.219397
NM_001204249.1	2202	1944.2	22.7377	1.06806
NM_001204751.1	3810	3552.2	263.654	6.77836
NM_001205062.1	1790	1532.2	2194.09	130.776
NM_001205223.1	2006	1748.2	112.406	5.872
NM_001206466.1	2688	2430.2	166	6.23813
NM_001206467.1	2688	2430.2	166	6.23813
NM_001206969.1	2536	2278.2	145.853	5.84673
