CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_009492	510.48	487.714	385.396	599.142	444.814	421.632	484.076	563.754	414.704	334.728	395.7	548.832
Caust.v2_009493	159	59	97	121	51	102	159	144	80	96	103	303
Caust.v2_009497	410.9998	336.99989729	360.999927541	404.00030569	434.999957	269.999637	267.0000371	414.00009952	569.00042	332.0005	323.00046	245.99960149
Caust.v2_009498	4	4	1	3	1	1	1	7	5	4	3	1
Caust.v2_009499	67	34	70	44	46	42	4	22	28	47	37	19
Caust.v2_009505	1383	1336	1362	1678	1053	1389	1703	1961	1250	1200	1434	2109
Caust.v2_009506	527	285	273	355	185	340	190	221	326	323	292	269
Caust.v2_009508	69	42	29	63	26	49	31	25	49	50	29	29
Caust.v2_009509	1	2	1	0	0	1	1	1	0	0	1	1
Caust.v2_009510	5	0	1	5	0	4	3	1	0	1	5	2
Caust.v2_009511	447	464	576	497	439	455	419	449	491	391	354	338
Caust.v2_009512	466	353	411	480	347	378	332	434	391	417	399	280
Caust.v2_009516	5058.25	1427.07	2734.29	2432.31	941.313	4755.63	7208.67	7423.61	2061.83	3808.17	2264.11	11101.6
Caust.v2_009517	260.414	124.293	248.099	476.987	0	210.644	195.686	186.536	0	293.392	548.431	97.6522
Caust.v2_009518	1244	943	1048	1155	669	1263	1063	1281	978	1014	951	1351
Caust.v2_009520	81	52	33	87	45	59	75	155	71	70	45	86
Caust.v2_009524	243	154	137	225	164	206	176	317	264	226	240	159
Caust.v2_009526	5798	3614	3684	5478	3476	4414	3672	5589	3505	4316	3998	4462
Caust.v2_009528	1053	597	787	837	732	870	1047	1089	751	705	668	1679
Caust.v2_009529	432.437	671.522	836.476	734.344	401.841	149.164	263.214	560.721	355.117	706.226	518.182	256.523
Caust.v2_009531	8302	6965	8541	7979	7192	7856	6792	8636	8259	6683	7194	8112
Caust.v2_009532	124673	105096	171865	142853	150578	105850	131075	166147	92368	105162	116560	186633
Caust.v2_009533	205.0002	161.9999	147	191.0004	93.99996	150.0001	147.9997	144.00044	133.0005	135.9998	109	238.9999
Caust.v2_009534	322	257	239	372	227	184	271	331	265	180	301	287
Caust.v2_009535	969	1016	903	1022	933	588	570	689	766	529	760	602
Caust.v2_009536	350	170	222	161	172	206	245	240	217	136	203	377
Caust.v2_009537	164	71	113	73	96	77	117	107	55	44	83	120
Caust.v2_009538	2180	1006	1450	1811	892	1482	1735	2174	1063	1442	1326	2459
Caust.v2_009539	369	248	385	303	220	372	595	451	259	306	257	630
Caust.v2_009540	1429	308	939	1079	191	1827	5919	4709	775	1298	1120	10872
Caust.v2_009541	1051	782	943	958	803	994	1009	1271	972	775	886	1309
Caust.v2_009542	2114.39	1318.02	1574.98	1647.79	1169.03	1393.52	1244.18	1635.87	1151	1476.72	1232.45	1106.99
Caust.v2_009543	613.796	219.64	615.634	653.504	217.77	1154.338	2576.4	2322.88	659.702	510.688	461.684	6953.7
Caust.v2_009544	680.431	717.409	672.663	817.131	531.408	669.547	715.25	1119.36	515.383	536.053	585.21	1058.7
Caust.v2_009545	337	237	321	299	215	294	323	401	197	204	223	595
Caust.v2_009546	512	352	404	460	288	405	485	611	412	346	444	638
Caust.v2_009547	946	783	971	954	676	829	847	1140	813	698	837	1375
Caust.v2_009548	3249	1632	2835	1980	2424	1797	1014.999	1493.001	2175	1797.999	1638	1365
Caust.v2_009550	1828	841	1049	1356	568	1624	2127	2170	1103	1393	979	3304
Caust.v2_009551	3557	3172	2631	3422	2463	2371	2661	3578	2357	2696	2307	3401
Caust.v2_009552	1603	1366	1430	1422	987	1511	1543	1844	1303	1303	1165	2145
Caust.v2_009553	1798	1971	1843	2420	2035	1538	1569	2387	1562	1687	1945	2420
Caust.v2_009554	415	1288	584	937	1033	632	422	1233	547	629	1275	398
Caust.v2_009555	463	214	381	376	171	482	1180	1149	308	322	355	2110
Caust.v2_009556	3108	2171	2903	3483	2095	2882	3302	3911	2284	2510	2449	4399
Caust.v2_009557	1382.998	1029	916.001	1013.002	684	843.998	904.998	976.999	816.001	825.999	827.002	994.999
Caust.v2_009558	574	535	521	720	482	435	346	620	528	407	515	729
Caust.v2_009559	483.8816	950.567	482.78	1034.626	451.6927	512.033	833.4693	207.7923	856.4546	702.6722	828.7105	568.0176
Caust.v2_009560	308.714	583.914	423.324	534.643	243.545	343.504	515.554	353.457	358.994	385.091	413.084	395.492
Caust.v2_009561	4945.28	3201.74003	3086.89998	3578.9203	3045.28003	2759.0804	2461.32002	3368.6597	2695.83996	2762.32002	3189.82001	3675.1798
Caust.v2_009563	31	29	28	23	27	15	11	26	11	23	22	23
Caust.v2_009564	1166	559	961	859	647	788	794	1022	675	699	626	800
Caust.v2_009565	179	156	205	128	156	151	96	169	158	164	107	94
Caust.v2_009571	0	0	1	0	1	6	1	1	5	0	2	2
Caust.v2_009572	0	0	0	1	0	0	0	0	0	0	0	0
Caust.v2_009573	29	21	16	18	12	15	11	15	26	20	7	35.2802
Caust.v2_009574	67	49	72	82	45	73	71	107	63	53	52	103.72
Caust.v2_009575	579	479	549	644	471	566	713	808	538	454	513	1039
Caust.v2_009576	3220	6696	4139	7223	3457	3579	7838	7791	4585	5866	5436	4205
Caust.v2_009577	479	204	385	337	153	549	887	975	260	285	337	1337
Caust.v2_009578	602	446	516	545	459	578	749	819	488	400	428	961
Caust.v2_009579	1994	1173	1479	1725	1143	1589	1768	2011	1254	1347	1202	2015
Caust.v2_009580	864	695	811	883	849	1583	903	1180	1582	758	746	1131
Caust.v2_009581	5051	3043	4062	3986	2614	3966	5147	5806	3321	3154	3079	5840
Caust.v2_009583	299	271	250	315	238	245	327	315	241	233	223	369
Caust.v2_009586	3	17	7	6	2	9	8	16	4	5	2	3
Caust.v2_009590	0	0	0	0	0	0	0	1	2	3.11259	0	0
Caust.v2_009600	45	73	41	71	56	37	31	29	44	36	35	49
Caust.v2_009601	5093	9908	4393	9836	7568	4218	3352	4793	5234	4632	5350	4747
Caust.v2_009602	397	274	338	287	246	399	374	476	322	298	288	497
Caust.v2_009603	298	135	202	227	297	356	186	303	208	350	193	290
Caust.v2_009609	0	0	0	0	0	0	0	0	0	0	0	1
Caust.v2_009612	653	338	550	509	339	526	524	597	478	398	410	616
Caust.v2_009613	123.592	96	131.252	101	109	93	111	164	116	82	87	146
Caust.v2_009614	968.601	581.433	746.406	936.21	511.323	664.164	749.61	1007.643	600.849	629.835	622.59	972.942
Caust.v2_009615	937	614	813	897	573	777	1016	1141	770	660	786	1086
Caust.v2_009616	395.229	393.178	366.923	471.791	288.456	323.846	369.875	494.328	350.357	240.976	347.115	452.549
Caust.v2_009617	2387	1785	1724	2288	1548	2278	2737	3243	1732	1770	1911	4837
Caust.v2_009618	2018.18	1443	1615.1	1619.95	1261.92	1671.19	1810.52	2009.35	1359.56	1389	1272.48	2250.38
Caust.v2_009619	3384	2726.77	3020.47	2785.46	3014.62	3044.82	3197.52	4547.15	2750.91	2943.18	3042.39	4580.79
Caust.v2_009620	264.003	2.22641	103.529	576.542	3.38104	343.178	358.479	301.855	190.094	218.817	64.6123	359.207
Caust.v2_009621	91.6808	19.0044	71.5972	83.8203	18.9951	51.4087	20	30.1888	23.4654	34.6637	26.8171	8.94082
Caust.v2_009622	1386.1	1621.57	1457.64	1733.74	1471.28	906.571	976.579	1169.1	1390.11	867.663	1091.53	997.578
Caust.v2_009625	81	315.5	202	693.5	135	189	154.5	299.5	511	664.5	228.5	141
Caust.v2_009633	0	2	2	2	2	3	1	1	5	0	2	1
Caust.v2_009635	1961.002	1812	1758	2025.002	1354.9981	1627	1494.002	1897	1809	1505	1639	2055.999
Caust.v2_009636	25	17	13	17	12	43	56	27	14	16	11	28
Caust.v2_009637	742	377	742	674	594	683	691	719	777	490	613	650
Caust.v2_009638	6448	3704	2401	9698	7266	5190	6770	7338	5125	3910	2999	12500
Caust.v2_009639	786	727	757	884	754	733	668	829	831	612	667	775
Caust.v2_009640	0	4	2.23846	3	0	3	0	7.4528	2	3.58219	4.81204	1.20509
Caust.v2_009641	4	2	1	4	4	3	2	6	6	4	1	3
Caust.v2_009642	1750	1265	1511	1646	1348	1504	1495	2003	1440	1354	1385	2090
Caust.v2_009645	3085	2956	3085	4539	2920	3262	4128	5259	2959	2915	3108	8126
Caust.v2_009646	1242	1001.001	1287	1212	861	1098.999	1421.001	1592.001	1104	1074.999	924.999	1467
Caust.v2_009647	692.112	198.1374	423.874	562	184.2044	765.12	1093.094	1161.346	305.726	493.52	355.94	1189.422
Caust.v2_009648	37.5427	17.2444	51.9581	0	22.2241	44.417	124.353	117.931	35.1185	46.4208	31.1451	150.606
Caust.v2_009649	620.346	440.618	471.167	469	351.571	546.463	564.552	664.723	379.155	440.06	421.914	642.971
Caust.v2_009650	1206	1011	1108	1051	748	954	1073	1241	905	951	889	1007
Caust.v2_009651	592	324	486	439	323	446	443	534	418	349	412	490
Caust.v2_009652	2105	1459	1972	1682	1533	2117	2024	2445	1992	1533	1557	3183
Caust.v2_009653	90.4006	53.969	60.5892	91.3573	50.0112	59.5433	89.7503	79.1803	56.0273	85.1775	63.3954	94.411
Caust.v2_009654	832.599	666.031	573.411	601.643	514.989	987.457	946.25	1104.82	794.973	473.823	730.605	1295.59
Caust.v2_009656	1838	1275	1659	1389	1247	1439	1210	1876	1253	1348	1232	1565
Caust.v2_009657	1429	1193	1487	1560	1316	1234	1059	1254	1386	1187	1510	1093
Caust.v2_009658	1008	723	1134	1025	848	1034	1339	1655	846	879	833	2653
Caust.v2_009659	173	178	186	288	113	191	139	197	266	187	170	184
Caust.v2_009661	7	14	18	23	0	14.2772	25.6274	25.4151	10.8197	23.699	21.1643	40.674
Caust.v2_009662	669.704	245.26	531.503	2185.91	1298.12	154.893	881.459	2944.74	970.453	819.477	479.988	2108.59
Caust.v2_009664	905.001	759	903.999	740.001	905.001	923.001	282	573.999	1164	675	674.001	287.0001
Caust.v2_009666	2560	2047	2212	2891	1883	2321	2219	2750	2286	1897	2195	3025
Caust.v2_009667	7	12	15	15	13	16	3	5	12	7	3	4
Caust.v2_009675	491	164	423	419	359	387	335	405	628	506	199	572
Caust.v2_009676	1995	1396	1596	2198	1186	1754	2213	2525	1644	1719	1532	3295
Caust.v2_009677	703.906	512.158	605.474	752.272	503.62	645.374	630.442	683.858	568.798	463.706	686.328	945.168
Caust.v2_009678	7.99504	10.4717	0	2.00267	1.95472	8.46048	7.54508	0	2.12748	0	9.9264	6.80369
Caust.v2_009679	1424.94	1101.64	1421.37	1372.46	1149.2	1233.39	1477.45	1691.44	1323.77	1030.01	1390.61	1950.03
Caust.v2_009680	1148	960	1181	1032	681	1180	1887	1906	1010	676	978	3193
Caust.v2_009681	1191	861	1162	946	904	1344	1174	1499	1314	958	977	1367
Caust.v2_009682	1351	1401	1489	1756	1723	1302	1661	1952	1323	1183	1461	2326
Caust.v2_009683	259	273	312	283	238	307	318	394	307	250	231	433
Caust.v2_009684	384	236	254	420	287	258	515	551	346	261	335	814
Caust.v2_009685	83	89	49	85	120	22	64	229	28	27	83	83
Caust.v2_009686	711	552	641	698	493	704	952	935	604	634	629	1127
Caust.v2_009687	183	179	156	210	194	181	85	142	205	165	129	101
Caust.v2_009688	37	24	19	38	42	40	19	25	19	62	29	1
Caust.v2_009689	1088	546	1532	1006	1131	1178.82	392	466	1290	822	675	803
Caust.v2_009690	594	261.986	382	293	328.972	425.18	194	427.971	498.96	340	396.927	331
Caust.v2_009691	284	175	234	200	166	174	296	297	228	240	328	411
Caust.v2_009692	1935	3195	1984	4348	2636	1493	1165	1883	2118	1833	2857	1714
Caust.v2_009695	1048	1159	1029	1381	923	847	895	1148	744	821	994	1104
Caust.v2_009696	1174	1194	1172	1330	1066	1190	1376	1790	1179	1121	1123	1982
Caust.v2_009697	769	467	583	697	413	571	595	741	535	528	401	757
Caust.v2_009698	23	24	29	19	37	37	19	24	34	24	41	286
Caust.v2_009699	1296	1110	1364	1281	1069	1087	1236	1470	1152	941	929	1520
Caust.v2_009700	2701	2305	1828	3096	1934	1721	1950	2589	2118	1631	1951	1650
Caust.v2_009702	972	758	1032	1007	935	767	650	792	834	626	858	569
Caust.v2_009703	894.9981	608.0001	786	579	551.9997	704.0019	673.0002	681.0003	673.0002	575.9997	678.9981	765
Caust.v2_009704	708	527	637	669	514	524	635	742	514	501	562	742
Caust.v2_009705	7622.000009872	5385.997	7328.0009	6944.002	5035.997	6292.003343	5473.003	7456.00000781429	4970.0013	6020.000440222	5181.0034	6436.996
Caust.v2_009706	367.231	319.419	270.642	519.502	393.163	179.963	37.6251	181.519	217.587	224.535	322.505	273.373
Caust.v2_009707	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009708	30.9123	30	18.3748	30.3697	4.34443	7.71198	12.6709	10.2561	10	20.6194	22.0644	7.73782
Caust.v2_009709	250	399	245	376	264	232	195	259	296.196	327	314	281
Caust.v2_009711	795.672	872.061	774.393	1280.61	1295.916	786.975	399.558	1155.216	858.837	836.421	1044.099	479.322
Caust.v2_009713	26	36	39	38	47	23	15	19	27	24	27	13
Caust.v2_009714	4778.84	2783.34	4450.4	4227.26	2910.78	3978.21	4322.98	5056.94	4067.79	4041.82	3318.72	5346.9
Caust.v2_009715	28019	10925	17462	18198	9390	21407	22265	28136	16368	21495	15946	42162
Caust.v2_009716	30	16	20	36	12	23	35	36	23	18	20	56
Caust.v2_009717	1824.53	1190.93	1299.63	1706.56	997.575	1535.11	1939.18	2309.84	1317.05	1478.84	1410.64	2342.49
Caust.v2_009718	549	1609	273	1493	288	401	642	391	643	1116	506	228
Caust.v2_009720	611	893	604	890	740	483	397	563	791	601	641	417
Caust.v2_009722	1966	1224	1188	2264	938	1611	1373	2251	1247	1642	1371	1443
Caust.v2_009724	1807.6	1919.37	1723.93	2384.62	2078.84	2767.06	2426.34	2675.11	3016.65	1734.26	2143.88	2720.54
Caust.v2_009727	696.99964	542.9992	888.9976	1004	1107.9992	501.99996	822.00092	856.99862	657.9998	521.99992	517.00108	1074.99884
Caust.v2_009728	7346.99	6292	6016	8384.99	5572.99	6940.01	7964.99	9610	6288.99	6275	6011	10163.99
Caust.v2_009729	5.55313	3.19134	3.87441	3.82267	4.21288	7.50994	2.83131	2.61299	2.6191	5.41864	9.53788	7.5403
Caust.v2_009730	20.4469	6.80866	22.1256	12.1773	10.7871	40.4901	8.16869	16.387	48.3809	9.58136	17.4621	9.4597
Caust.v2_009731	646	620	598	665	674	570	249	491	688	659	514	281
Caust.v2_009734	0	0	0	1.84891	0	2.45538	0	0	0	2.71932	0	0
Caust.v2_009735	67	41	68	59.1511	130	58.5446	19	56	62	25.2807	38	21
Caust.v2_009736	1068	1359	880	1298	1146	1209	639	726	1316	895	1118	1063
Caust.v2_009738	78	84	81	132	55	57	59	60	119	72	94	144
Caust.v2_009739	496	583	553	538	777	292	189	539	368	334	467	199
Caust.v2_009740	2	3	8	6	14	3	2	12	5	8	7	4
Caust.v2_009741	181	200	189	159	163	105	125	142	126	123	136	79
Caust.v2_009742	423	598	440	716	581	491	555	713	784	570	713	614
Caust.v2_009743	848	1418	1510	1439	1496	1480	778	1333	1647	1846	1644	777
Caust.v2_009744	294	192	256	274	179	216	219	192	210	177	218	207
Caust.v2_009745	5327	4765	6068	5092	4123	4199	3041	4905	3902	3686	3917	5068
Caust.v2_009746	83	73	65	188	61	102	143	149	87	85	66	134
Caust.v2_009747	2	2	0	2	0	3	3	8	2	3	2	2
Caust.v2_009755	3	7	1	3	2	1	9	12	2	8	4	4
Caust.v2_009756	569	221	354	242	204	396	468	501	293	309	314	490
Caust.v2_009757	1174	1178	1080	1239	988	922	1214	1118	902	837	1102	1289
Caust.v2_009758	45	22	22	15	36	36	31	38	38	30	21	25
Caust.v2_009759	693	250	446	397	294	429	682	795	388	411	412	866
Caust.v2_009760	227	173	340	263	222	1081	41	140	1377	214	128	39
Caust.v2_009762	168	824	434	1557	393	292	191	262	368	357	372	203
Caust.v2_009763	14	38	19	70	19	12	0	21	14	24	15	8
Caust.v2_009764	9	5	3	14	6	9	7	1	18	3	6	0
Caust.v2_009766	4	3	0	1	6	1	2	0	1	1	0	2
Caust.v2_009767	0	1	1	0	1	0	0	2	13	0	0	0
Caust.v2_009768	0	0	0	0	0	0	0	0	0	0	1	0
Caust.v2_009769	534.597	385.502	432.448	398.298	348.977	532.497	308.327	420.327	623.105	289.372	350.934	392.71
Caust.v2_009771	439.468	413.011	316.262	617.679	446.208	891.969	654.429	422.757	939.413	592.08	704.292	956.537
Caust.v2_009773	17	17	26	40	23	12	12	13	32	9	34	3
Caust.v2_009779	431	423	469	574	506	429	137	302	683	382	426	106
Caust.v2_009781	742	453	663	623	389	880	1005	978	636	658	544	1215
Caust.v2_009782	2109	1289	1422	1869	1100	1624	1658	1866	1233	1420	1350	2174
Caust.v2_009783	2149	2387	2091	2322	2061	1823	1549	2045	2070	1645	1634	1671
Caust.v2_009784	1286	874	805	2032	1209	987	308	799	1788	1015	616	979
Caust.v2_009786	1517	987	1220	1150	1000	1485	1338	1666	1313	1230	1018	1942
Caust.v2_009787	1152	1249	1167	1599	1214	1092	1230	1511	1112	955	1226	1535
Caust.v2_009788	754	281	568	461	279	672	1212	885	433	455	424	1602
Caust.v2_009789	22	13	16	18	2	15	16	23	10	10	10	7
Caust.v2_009790	47	60	55	34	39	36	45	57	56	51	70	33
Caust.v2_009791	668	340	489	557	303	589	836	853	422	384	514	1005
Caust.v2_009792	842	920	1145	1081	732	894	842	1124	945	856	1085	800
Caust.v2_009793	3166	2567	2648	3400	2309	2872	3074	3870	2279	2615	2416	4035
Caust.v2_009794	637	1063	714	1081	788	819	577	698	916	698	692	474
Caust.v2_009795	58	43	52	49	51	53	40	51	68	49	40	89
Caust.v2_009796	6	4	8	15	13	14	2	6	19	7	8	41
Caust.v2_009797	265	306	1083	661	463	513	86	325	969	356	760	284
Caust.v2_009798	581.785	608.739	750.548	1070.75	566.004	608.312	276.319	400.78	877.476	607.004	526.004	376.462
Caust.v2_009799	104	61	64	90	61.5	58.5	31.5	44.5	103.5	58	61	29
Caust.v2_009800	0	0	1	0	1	0	0	0	0	0	0	0
Caust.v2_009802	23	53	20	47	25	8	29	27	31	17	43	21
Caust.v2_009806	2488	2943	1928	3180	2132	2149	1744	2189	2546	2004	2864	3038
Caust.v2_009811	385	383	383	549	332	332	290	331	390	266	410	262
Caust.v2_009812	1126	1401	935	1970	1178	948	843	1228	1216	966	1414	888
Caust.v2_009813	9	60	27	59	28	16	50	31	38	20	65	41
Caust.v2_009814	145	115	97	204	98	88	70	96	115	90	93	75
Caust.v2_009815	3579	1926	2642	3049	1921	2138	2024	2567	1880	2460	1991	2216
Caust.v2_009817	90	53	52	73	53	37	52	69	39	52	43	41
Caust.v2_009818	3588	5804	3239	4376	2941	2820	5033	3685	2697	3714	2859	5456
Caust.v2_009819	1985	1505	2292	2526	1737	2034	1203	1533	2511	2500	1896	1076
Caust.v2_009820	304	219	243	273	239	240	237	348	211	246	240	395
Caust.v2_009822	1187	1011	741	1504	869	884	927	1280	885	939	924	1353
Caust.v2_009823	7146.47	7086.01	5839.25	6857.85	6936.08	5825.97	5914.69	6864.11	5020.33	4882.82	6176.48	6281.78
Caust.v2_009825	1012	1085	991	1018	751	894	1196	1201	967	854	1026	1424
Caust.v2_009826	489	496	345	619	516	397	403	567	475	357	449	677
Caust.v2_009827	1891	1527	1525	1908	1238	1446	1385	1782	1274	1439	1376	1613
Caust.v2_009828	930	547	935	751	491	897	784	882	649	587	519	967
Caust.v2_009830	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009834	0.00467945	19	0.00529536	0.00103429	0.000647972	0.00370087	0.00207977	0.00848824	0.00376358	0.00989389	0.00140072	0.000910674
Caust.v2_009843	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009845	32	30	35	35	54	26	8	25	31	27	16	18
Caust.v2_009851	3398	3889	2856	4549	4815	2004	829	2020	2629	2655	2630	1024
Caust.v2_009852	4211	3679	3860	3945	4762	2586	934	2147	2849	3176	2895	1179
Caust.v2_009853	3090.57	1830.06	2231.83	2603.04	1618.01	2386.52	2318.83	2706.55	2037.41	2439.81	2174.6	3092.54
Caust.v2_009854	3260	2047	1949	1782	2635	1314	465	945	1687	1321	1554	400
Caust.v2_009857	618	1801	916	2375	2122	2985	347	557	4114	876	1187	408
Caust.v2_009859	4047	2925	3246	4087	2650	3431	3773	4440	3146	3152	3280	4780
Caust.v2_009860	1395	1443	1484	1845	1344	1349	1380	1959	1422	1358	1379	1367
Caust.v2_009861	1122.0003	830	969.0004	1069	796.0004	898.0002	1060.998	1413.004	804.9999	833.0002	974.9999	1609.001
Caust.v2_009862	459	574	648	699	498	486	607	698	659	458	702	656
Caust.v2_009863	2313	1469	1720	1905	1459	1693	1994	2396	1568	1616	1657	2176
Caust.v2_009864	1860	2203	1870	3007	2105	1910	1708	2552	1883	1799	2017	1850
Caust.v2_009866	99	106	75	131	120	78	74	128	97	62	92	76
Caust.v2_009876	1050	600	444	936	606	718	389	1096	696	833	695	765
Caust.v2_009879	244	169	177	251	146	222	259	293	185	160	256	333
Caust.v2_009880	746	532	645	696	435	626	759	894	572	524	669	815
Caust.v2_009881	640	489	806	445	487	575	692	733	490	511	558	691
Caust.v2_009882	203	1552	533	828	815	198	441	363	226	302	557	590
Caust.v2_009883	135	513	315	401	462	83	165	231	181	191	193	116
Caust.v2_009884	561	515	628	587	433	618	660	835	635	569	565	790
Caust.v2_009885	1981	1737	1846	2524	1741	1762	1602	2386	1657	1851	1863	2253
Caust.v2_009886	712	449	549	490	445	488	462	698	434	477	463	549
Caust.v2_009887	1492	3214	1521	2696	2697	1731	1158	1925	1479	1762	2544	1427
Caust.v2_009888	45	31	54	52	48	49	139	44	36	174	28	183
Caust.v2_009889	1451	1150	1369	1492	1117	1201	1352	1523	1138	1108	1223	1541
Caust.v2_009890	518.844	340.322	285.241	533.938	381.476	479.648	683.517	1081.32	986.739	724.005	619.425	794.176
Caust.v2_009891	3.58989	0.859077	3	3	2.52399	4	2.36393	2	2	2	0	0
Caust.v2_009892	198	250	203	166	164	188	153	209	236	164	228	100
Caust.v2_009893	424	408	374	430	345	316	369	541	396	265	424	349
Caust.v2_009894	494	307	428	431	271	455	565	744	336	315	326	660
Caust.v2_009895	1517	1894	1344	2203	1625	1084	1207	1735	1068	1173	1295	1690
Caust.v2_009896	77	114	95	178	148	83	33	132	41	49	121	59
Caust.v2_009898	22872	11514	12408	15000.99	8280.99	20012.01	18848.01	28179.99	13386	13476	14604	24335.01
Caust.v2_009902	356	189	151	338	221	199	89	206	299	167	268	129
Caust.v2_009910	1	0	0	0	1	0	0	1	1	0	0	1
Caust.v2_009919	117	97	81	138	94	62	108	106	84	98	93	112
Caust.v2_009920	1464	1555	1756	1967	1645	1287	1477	1728	1588	1317	1666	1677
Caust.v2_009921	832	608	661	840	875	610	690	1056	693	502	604	900
Caust.v2_009922	445	319	447	490	388	330	507	553	277	379	309	749
Caust.v2_009923	698	1871	1010	2251	1033	1480	1352	1991	1524	1307	1261	1467
Caust.v2_009924	228.5	153.5	247.5	215.5	202.5	193.5	242	223.5	170.5	161	160.5	292.5
Caust.v2_009925	835	422	659	504	287	1141	1074	1500	467	600	478	1553
Caust.v2_009926	228.5	153.5	247.5	215.5	202.5	193.5	242	223.5	170.5	161	160.5	292.5
Caust.v2_009927	16	12	18	12	4	14	7	18	9	6	7	1
Caust.v2_009930	1070	713	679	1219	964	1074	419	612	1423	714	1039	288
Caust.v2_009931	5.98049	16.0668	9.95638	11.4854	5.65783	8.75101	9.3605	10.0972	21.8235	5.93469	12.1439	5.65398
Caust.v2_009932	207	441	386	1225	552	476	85	340	999	1109	244	85
Caust.v2_009933	1705	2195	2223	3826	2735	1225	758	1306	3244	3765	1325	986
Caust.v2_009934	16073	22406	24786	29292	25209	21968	14102	20390	32145	20805	18706	16443
Caust.v2_009935	331	358	280	437	302	216	223	260	254	215	229	198
Caust.v2_009936	740	803	866	825	755	709	541	720	914	573	647	626
Caust.v2_009937	323	231	275	281	205	218	262	335	249	224	237	329
Caust.v2_009938	200	126	178	131	116	194	206	249	177	125	118	297
Caust.v2_009944	2	14	5	27	7	16	3	8	11	7	17	4
Caust.v2_009950	2298	1917.999	3878.01	4184.01	4064.01	2760.999	1907.001	1536	4698.99	2022.999	1973.001	1592.001
Caust.v2_009951	11327	9522	12627	11737	8560	8873	8688	10873	8384	9119	7981	10595
Caust.v2_009952	435	283	344	445	261	368	434	536	330	319	345	670
Caust.v2_009953	31	9	42	45	19	35	43	114	33	27	38	74
Caust.v2_009954	1051	606.306	800.649	1006.15	599.398	704.668	673.728	914.194	675.394	690	740	1070
Caust.v2_009955	1859	1542	1853	2143	1438	1579	1867	2219	1631	1460	1452	2382
Caust.v2_009956	1067	579	812	724	489	853	883	1142	848	683	685	1167
Caust.v2_009957	758	467	727	689	591	727	806	857	721	501	590	814
Caust.v2_009958	1100	973	1083	1391	905	930	962	1407	785	858	1010	1241
Caust.v2_009959	629.000067	486.9996	553.9991	763.99957	499.0007	481.9999	572	634.000100028382	538.9998	578	628.9994	599.9998
Caust.v2_009960	735	1078	769	1180	967	541	546	806	655	630	924	413
Caust.v2_009961	11643	7021	9136	10665	5780	12468	19078	21812	8851	10876	9612	31747
Caust.v2_009962	2261	1322	1685	1802	1222	1942	2277	2722	1529	1459	1473	3282
Caust.v2_009964	341.608	258.214	253.502	303.117	267.848	227.789	250.484	252.748	305.698	188.39	256.106	289.721
Caust.v2_009965	69	31	56	55	41	58	69	63	57	45	57	93
Caust.v2_009966	3	0	0	2	1	0	0	4	0	2	0	1
Caust.v2_009971	1204	1223	1164	1230	1119	1475	1451	1832	1474	1225	1535	1740
Caust.v2_009972	202	300	219	296	285	308	238	408	316	218	280	299
Caust.v2_009973	59	68	34	72	49	33	13	20	30	23	55	24
Caust.v2_009974	10160	74622	29409	70770	43971	20892	29323	29381	51331	51703	44222	13144
Caust.v2_009975	250	339	361	459	506	228	104	274	352	245	247	139
Caust.v2_009976	3	3	4	2	2	5	0	2	0	2	2	0
Caust.v2_009978	129	112	98	127	92	92	97	96	96	82	65	71
Caust.v2_009979	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009982	669	599	606	659	520	458	468	574	463	381	559	386
Caust.v2_009983	410	420	765	569	411	267	412	362	371	358	250	447
Caust.v2_009984	1662.1	495.943	548.555	1175.73	275.6	1318.43	1448.45	928.445	1418	1137.86	431.053	2099.32
Caust.v2_009985	2418	1431	1976	2001	1217	1762	2097	2442	1533	1533	1749	2374
Caust.v2_009986	444	384	478	375	365	303	369	476	373	356	401	450
Caust.v2_009987	117	64	74	61	40	82	121	114	84	72	79	81
Caust.v2_009988	16	9	19	11	21	29	17	14	10	13	11	10
Caust.v2_009989	846	527	659	771	451	705	699	866	578	508	541	812
Caust.v2_009990	358	299	337	289	210	278	317	303	285	237	232	358
Caust.v2_009991	407	246	319	287	174	355	526	546	275	226	377	717
Caust.v2_009992	498.999	368.001	572.001	420.999	386.001	345.999	329.001	462	381.999	339.999	387.999	396
Caust.v2_009993	906	595	738	726	539	696	636	720	618	619	615	692
Caust.v2_009994	1323	1020	1378	1230	944	1113	1117	1290	1207	1046	976	1173
Caust.v2_009995	3125	2643	2624	3170	2385	2512	3455	3970	2539	2392	2316	4362
Caust.v2_009996	54	46	42	72	45	32	28	27	40	41	40	33
Caust.v2_009997	5752	4115	4256	5358	4531	3914	3464	4439	3647	3421	4293	4460
Caust.v2_010004	5	11	1	15	21	10	2	0	8	5	8	6
Caust.v2_010006	4595	2661	3635	3876	3081	3536	2195	3693	3271	3071	2589	2490
